NAME,TYPE,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones
Taco Bell,Fast Food,1110 W North Carolina 54,35.92052714,-78.95580693,https://locations.tacobell.com/nc/durham/1110-w--nc-54.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=029412&utm_content=website&y_source=1_NjE0NzAyOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"Creekside Elementary, Githens Middle, Jordan High"
McDonald's,Fast Food,1010 N Miami Blvd,35.99322585,-78.86878878,https://www.mcdonalds.com/us/en-us/location/NC/DURHAM/1010-N-MIAMI-BLVD/4320.html?cid=RF:YXT:GMB::Clicks,"Merrick-Moore Elementary, Neal Middle, Southern High"
Jimmy's Famous Hot Dogs,Fast Food,2728 Guess Rd,36.03129797,-78.92453817,http://www.jimmysfamoushotdogs.com/,"Holt Elementary, Brogden Middle, Riverside High"
Zaxby's Chicken Fingers & Buffalo Wings,Fast Food,3820 N Roxboro St,36.04257047,-78.89921896,https://www.zaxbys.com/locations/nc/durham/3820-n-roxboro-st/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"Holt Elementary, Carrington Middle, Riverside High"
Cook Out,Fast Food,1540 S Miami Blvd,35.95145175,-78.83743594,http://cookout.com/,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Bojangles,Fast Food,3558 Hillsborough Rd,36.02289094,-78.95177723,https://locations.bojangles.com/nc/durham/3558-hillsborough-rd.html,"Hillandale Elementary, Brogden Middle, Riverside High"
Burger King,Fast Food,4829 Hope Valley Rd,35.92002412,-78.95867591,https://burgerking.com/store-locator/store/restaurant_5431,"Southwest Elementary, Githens Middle, Jordan High"
Wendy's,Fast Food,4819 NC-55,35.90119035,-78.89391728,https://locations.wendys.com/united-states/nc/durham/4819-nc-highway-55?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,"Parkwood Elementary, Lowes Grove Middle, Hillside High"
Wendy's,Fast Food,5402 Miami Blvd,35.89262953,-78.82410499,https://locations.wendys.com/united-states/nc/durham/5402-south-miami-blvd?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Wendy's,Fast Food,1808 S Miami Blvd,35.95768558,-78.8378379,https://locations.wendys.com/united-states/nc/durham/1808-s-miami-boulevard?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Subway,Fast Food,40 Duke Medicine Cr,36.00495416,-78.93612846,https://restaurants.subway.com/united-states/nc/durham/40-duke-medicine-circle?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=46474&utm_campaign=evergreen-2020&y_source=1_MTQ5MDMwNTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"E.K. Powe Elementary, Brogden Middle, Riverside High"
McDonald's,Fast Food,5277 N Roxboro St,35.87818937,-78.84783428,https://www.mcdonalds.com/us/en-us/location/NC/DURHAM/5507-S-MIAMI-BLVD/27133.html?cid=RF:YXT:GMB::Clicks,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
McDonald's,Fast Food,1708 New Raleigh Hwy,35.94817724,-78.8363455,https://www.mcdonalds.com/,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
McDonald's,Fast Food,5507 S miami Blvd,35.87798074,-78.84804886,https://www.mcdonalds.com/us/en-us/location/NC/DURHAM/5507-S-MIAMI-BLVD/27133.html?cid=RF:YXT:GMB::Clicks,"Bethesda Elementary, Lowes Grove Middle, Hillside High"
Chick-fil-A,Fast Food,6910 Fayetteville Rd Suite 246,35.90565969,-78.94037497,https://www.chick-fil-a.com/,"Lyons Farm Elementary, Githens Middle, Jordan High"
Only Burger,Fast Food,3710 Shannon Rd #118,35.95648579,-78.95326018,http://www.onlyburger.com/,"Hope Valley Elementary, Githens Middle, Jordan High"
Hardee's ,Fast Food,4607 S Alson Ave,35.90087249,-78.88671711,https://locations.hardees.com/nc/durham/4607-s-alston-ave?utm_source=yext&utm_medium=gmb-button&utm_campaign=search&utm_content=website&y_source=1_MTIzODk3MzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Parkwood Elementary, Lowes Grove Middle, Hillside High"
Mr. Fries Man,Fast Food,1105 W Main St Unit 110,36.00188108,-78.91047568,http://www.mrfriesman.com/,"C.C. Spaulding Elementary, Brogden Middle, Jordan High"
Arby's,Fast Food,5278 N Roxboro St,36.07678673,-78.90828567,https://locations.arbys.com/nc/durham/5278-n-roxboro-rd.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,"Eno Valley Elementary, Carrington Middle, Northern High"
