CENTER_NAME,name,LATITUDE,LONGITUDE,URL,,,,,
Easley SAC Club,Easley SAC Club,36.0754225,-78.9268729,https://childcarecenter.us/provider_detail/easley_sac_club_durham_nc,,,,,
Eastway Elementary Pre-K,Eastway Elementary Pre-K,35.973822,-78.893912,https://www.durhamprek.org/eastway-elementary-school/,,,,,
EK Powe SAC Club,EK Powe SAC Club,36.012086,-78.921974,https://childcarecenter.us/provider_detail/ek_powe_sac_club_durham_nc,,,,,
Fellowship Baptist Daycare,Fellowship Baptist Daycare,36.000299,-78.8615612,https://childcarecenter.us/provider_detail/fellowship_baptist_daycare_durham_nc,,,,,
Glaxo Child Development Center,Glaxo Child Development Center,35.9277056,-78.8611299,https://childcarecenter.us/provider_detail/glaxo_child_development_center_durham_nc,,,,,
Glenn SAC Club,Glenn SAC Club,36.0289571,-78.8377654,https://childcarecenter.us/provider_detail/glenn_sac_club_durham_nc,,,,,
Hillandale SAC Club,Hillandale SAC Club,36.0524508,-78.9333155,https://childcarecenter.us/provider_detail/hillandale_sac_club_durham_nc,,,,,
Holt SAC Club,Holt SAC Club,36.0562431,-78.9064834,https://childcarecenter.us/provider_detail/holt_sac_club_durham_nc,,,,,
Lakewood SAC Club,Lakewood SAC Club,35.9830548,-78.9354446,https://childcarecenter.us/provider_detail/lakewood_sac_club_durham_nc,,,,,
Linking Connections Learning Center,Linking Connections Learning Center,36.018437,-78.889848,https://linkingconnections.info,,,,,
"Loving, Caring, and Sharing","Loving, Caring, and Sharing",35.9702858,-78.8881475,https://childcarecenter.us/provider_detail/loving_caring_and_sharing_durham_nc,,,,,
Merrick-Moore SAC Club,Merrick-Moore SAC Club,36.0054223,-78.8519514,https://childcarecenter.us/provider_detail/merrick_moore_sac_club_durham_nc,,,,,
Morehead SAC Club,Morehead SAC Club,35.989161,-78.913225,https://prek.club/day-care-school/morehead-sac-club,,,,,
Oak Grove SAC Club,Oak Grove SAC Club,35.981254,-78.82071,https://childcarecenter.us/provider_detail/oak_grove_sac_club_durham_nc,,,,,
Pearsontown SAC Club,Pearsontown SAC Club,35.9320941,-78.9082601,https://childcarecenter.us/provider_detail/pearsontown_sac_club_durham_nc,,,,,
Pobaby Development Academy,Pobaby Development Academy,35.949556,-78.90626,https://childcarecenter.us/provider_detail/pobaby_development_academy_durham_nc,,,,,
Sandy Ridge SAC Club,Sandy Ridge SAC Club,36.0572963,-78.8710677,https://childcarecenter.us/provider_detail/sandy_ridge_sac_club_durham_nc,,,,,
Southwest SAC Club,Southwest SAC Club,35.9276852,-78.9241013,https://childcarecenter.us/provider_detail/southwest_sac_club_durham_nc,,,,,
The Playhouse Early Academy,The Playhouse Early Academy,36.0195496,-78.915767,https://theplayhouse123.com,,,,,
Toddler's Academy,Toddler's Academy,35.9113829,-78.9452319,http://toddlersacademyinc.com,,,,,
Treasures of Joy Christian Learning Academy,Treasures of Joy Christian Learning Academy,35.9378776550293,-78.8842315673828,https://childcarecenter.us/provider_detail/treasures_of_joy_christian_learning_center_inc_durham_nc,,,,,
Watts SAC Club,Watts SAC Club,36.0081821,-78.9101239,https://childcarecenter.us/provider_detail/watts_sac_club_durham_nc,,,,,
White Rock Child Development Center,White Rock Child Development Center,35.9556884765625,-78.9071502685546,https://childcarecenter.us/provider_detail/white_rock_child_development_center_durham_nc,,,,,
21st Century Childcare at Sherwood Park,21st Century Childcare at Sherwood Park,36.0033363,-78.869643,https://childcarecenter.us/provider_detail/21st_century_child_care_at_sherwood_park_durham_nc,,,,,
A New Beginning,A New Beginning,35.9623146057128,-78.9608459472656,https://childcarecenter.us/provider_detail/a_new_beginning_durham_nc,,,,,
A New Beginning III,A New Beginning III,35.99033203,-78.92432582,http://www.momtrusted.com/childcare/childcare-in-durham-a-new-beginning-iii-f5e6fe430556,,,,,
A New Beginning IV,A New Beginning IV,36.01833815,-78.8891204,https://www.countyoffice.org/a-new-beginning-iv-durham-nc-13d/,,,,,
Al-Huda Academy,Al-Huda Academy,35.894709,-78.9114577,http://www.alhudaacademy.net,,,,,
All my Children Child Care Center,All my Children Child Care Center,35.9703577,-78.9431331,https://www.allmychildrennc.com,,,,,
Bambinos Playschool,Bambinos Playschool,35.8985290527343,-78.8949966430664,https://bambinosplayschool.com,,,,,
