STOP_NAME,STOP_ID,LATITUDE,LONGITUDE,SHARED_ROUTES,SHELTERED,SIDEWALK
Erwin Rd at Fulton St (Duke University Hospital),6012,36.008087,-78.937774,"6, 6B, 20, 400, 405, BCC, D H5",1,1
Roxboro St at Holloway St,6014,35.99632,-78.8962,"9, 9A, 9B",1,NA
Lawson St at Bacon St (WB),6016,35.97435,-78.884612,8,0,NA
Hillsborough Rd at Lawndale Ave (Food Lion),6018,36.014123,-78.933193,11,1,1
Otis St at Pilot St,6020,35.969541,-78.910683,7,0,NA
Fayetteville St at Lawson St (NCCU),6023,35.9771,-78.900667,"5, 5K",1,1
LaSalle St at Duke Manor Apts (Inbound),6024,36.0152631,-78.946997,11,0,NA
Cornwallis Rd at Beechwood Ave,6026,35.960998,-78.914996,7,0,0
Dowd St at Alston Ave (EB),6031,36.000356,-78.886682,"9, 9A, 9B",0,NA
Fayetteville St at Cecil St (NB),6032,35.97103,-78.901186,"5, 5K",0,1
University Dr at Martin Luther King Jr Pkwy (EB),6036,35.962671,-78.960307,"10, 10A, 10B, 400",1,1
E Main St at Goley St (EB),6039,35.985963,-78.884518,"2, 2A, 2B",0,NA
Hillsborough Rd at Trent Dr (EB),6040,36.011796,-78.93026,11,0,NA
American Dr at White Pine Dr,6042,36.016519,-78.96679,6,0,0
LaSalle St at Blue Crest Ln (Blue Crest Apts),6045,36.013763,-78.948249,"11, D LL",1,NA
Green St at Buchanan Blvd,6047,36.011418,-78.91239,11,0,1
Dearborn Dr at Ora St,6048,36.029329,-78.87017,"9, 9A, 9B",0,NA
Service Rd at Hillandale Rd (WB),6049,36.0167732,-78.936882,11,0,NA
Pickett Rd at Colony Rd,6050,35.975403,-78.964025,10B,0,NA
Lawson St at Ridgeway Ave,6052,35.973721,-78.887892,8,1,NA
Lawson St at S Briggs Ave (Durham Exchange Club),6053,35.974354,-78.87704,8,1,1
Cornwallis Rd at Spring Ridge Apt,6054,35.93817,-78.8951,"12, 12B",0,NA
Green St at Clarendon St (WB),6055,36.011747,-78.91814,11,0,1
Chapel Hill Rd at Huron St,6057,35.981986,-78.932409,"10, 10A, 10B",0,NA
Lawson St at S Briggs Ave (Ferguson),6058,35.974223,-78.877328,8,0,1
Chapel Hill Rd at Chesterfield Apts,6059,35.990191,-78.924186,"10, 10A, 10B",0,NA
Bennett Memorial Rd at Gentry Dr (WB),6060,36.0312096,-78.979047,"6B, 11",0,NA
Ross Rd at Fernando St,6061,35.9924,-78.84257,"3B, 23",0,NA
E Main St at Alston Ave (EB),6063,35.98756,-78.888283,"2, 2A, 2B",0,1
Roxboro Rd at Omega Rd,6064,36.07557,-78.9095,9B,0,NA
Crutchfield St at Pendergrass St,6065,36.03897,-78.90478,"4, 9, 9A",0,NA
Olympic Ave at Roxboro Rd,6067,36.036822,-78.897146,"4, 9, 9A",0,NA
Erwin Rd at Downing St (WB),6068,36.008863,-78.943709,"6, 6B, 11, 400, 405",Yx2,1
Chapel Hill St at Carroll St,6069,35.99687,-78.91558,"6, 6B",0,1
Morehead Ave at Fairview St,6071,35.991874,-78.917911,"10, 10A, 10B",0,0
Gary St at N Miami Blvd (SB),6073,35.992292,-78.869468,"2B, 23",0,NA
Douglas St at Pratt St,6076,36.01117,-78.94275,6,0,NA
Fayetteville St at Eagle Campus Dr,6077,35.97352,-78.900919,"5, 5K",1,NA
Mordecai St at Holston St,6078,36.00417,-78.9555,6,0,NA
Chapel Hill St at Arnette Ave (WB),6079,35.9969316,-78.914077,"6, 6B",0,1
Angier Ave at E Main St (Hosiery Mills),6085,35.989321,-78.892003,BCC,0,1
E Main St at Hyde Park Ave (EB),6086,35.98532,-78.88195,"2, 2A, 2B",0,NA
US 70 at Miami Blvd,6087,35.94837,-78.83663,"2, 2A",0,NA
Angier Ave at E Main St (WB),6088,35.989392,-78.891881,"2, 2A, 2B",1,1
Hardee St at Cheek Rd (SB),6092,36.004544,-78.867021,"2B, 3, 23",1,0
Miami Blvd at Holloway St,6093,35.99337,-78.8699,"2B, 3, 3B, 3C, 23",1,NA
Duke Regional Hospital (SB),6095,36.038147,-78.899033,"9, 9A",1,1
Roxboro Rd at Higbee St,6096,36.01662,-78.89012,4,0,NA
NC 55 at Corona St,6097,35.961685,-78.894217,"12, 12B",0,NA
Riddle Rd at Ancroft Ave,6098,35.95272,-78.897066,"12, 12B",0,NA
Fulton St at Erwin Rd (Duke Hospital Parking Garage),6104,36.008773,-78.937102,"6, 11, DRX, ODX, D H2, D H6",1,1
Guess Rd at Hillcrest Dr,6105,36.02425,-78.91972,1B,0,NA
Guess Rd at Lamar St,6106,36.02685,-78.92308,1B,0,NA
Guess Rd at North Pointe Dr (NB),6107,36.029968,-78.926933,"1A, 1B",0,NA
North Pointe Dr at North Pointe Shopping Center (EB),6109,36.02893,-78.921299,1A,1,1
North Pointe Dr at Broad St (EB),6110,36.028016,-78.91508,1A,1,1
Guess Rd at Lamar St (SB),6114,36.026669,-78.923042,"1, 1B",0,1
Guess Rd at Hillcrest Dr,6115,36.024448,-78.920269,"1, 1B",0,NA
North Pointe Dr at Woodmont Dr,6116,36.03087,-78.92688,"1, 1A",0,NA
Horton Rd at Duke St,6125,36.051277,-78.90699,"9, 9A",0,1
Chalk Level Rd at Horton Rd (Westbound),6126,36.0512776,-78.911004,"9, 9A",0,NA
Stadium Dr at Wyldewood Rd (Foxfire Apts),6128,36.053469,-78.919688,9A,0,NA
New Castle Rd at Wyldewood Rd (SB),6129,36.05138,-78.92357,9A,0,NA
Lawson St at Bacon St (EB),6130,35.974105,-78.885177,8,0,NA
Briggs Ave at Person St (SB 2),6132,35.963091,-78.877635,8,0,1
Briggs Ave at Riddle Rd,6133,35.9588,-78.8792,8,0,NA
Capps St at S Alston Ave,6136,35.962295,-78.886911,8,0,NA
Capps St at Bacon St,6137,35.965196,-78.88354,8,0,NA
Hearthside St at Bacon St,6138,35.9664135,-78.882231,8,0,NA
Hearthside St at Welch Pl,6139,35.967593,-78.883525,8,0,NA
Fayetteville St at Tralea Dr (SB),6142,35.95593,-78.907567,"5, 5K, 7",0,NA
Pickett Rd at Western Bypass Rd,6145,35.97373,-78.95925,10B,0,NA
Fayetteville St at Pilot St (NB),6146,35.963849,-78.907069,"5, 5K",1,1
Fayetteville St at Cornwallis Rd (NB),6147,35.960317,-78.910241,"5, 5K",0,NA
Fayetteville Rd at Dunhill Dr (Pine Ridge Center),6153,35.9162891,-78.931658,"5, 14, 0805",0,1
Roxboro St at Cornwallis Rd,6154,35.965529,-78.918751,7,0,NA
Roxboro Rd at Crutchfield St (Duke Regional Hospital),6155,36.038368,-78.898424,"4, 9, 9A",0,NA
Carver St at Meriwether Dr,6156,36.043206,-78.891931,"9, 9A",0,NA
Club Blvd at Lindbergh St,6157,36.023083,-78.878771,"9, 9A, 9B",0,NA
Dowd St at Gurley St (WB),6158,36.000394,-78.891915,"9, 9A, 9B",0,NA
Dowd St at Gurley St (EB),6159,36.000316,-78.891527,"9, 9A, 9B",0,NA
Dowd St at Hazel St (EB),6160,36.000336,-78.888906,"9, 9A, 9B",0,NA
Dowd St at Alston Ave (WB),6161,36.000449,-78.88648,"9, 9A, 9B",0,NA
Duke St at Cobb St,6162,35.98903,-78.908858,7,0,NA
Chapel Hill Rd at Yates Church,6163,35.97405,-78.93693,"10, 10A, 10B",0,NA
University Dr at Shannon Rd,6164,35.966229,-78.954307,"10, 10A",0,NA
Old Chapel Hill Rd at Garrett Rd (WB),6165,35.949879,-78.96766,"10, 10A, 400",0,1
Chapel Hill Rd at Colonial Apts (NB),6167,35.9704917,-78.938627,"10, 10A, 10B",0,NA
Buchanan Blvd at Minerva Ave,6168,36.00442,-78.91237,11,0,NA
LaSalle St at Duke Manor Apts (NB),6169,36.0152375,-78.946814,"11, D LL",0,NA
Hillsborough Rd at Sparger Rd (Food Lion),6170,36.03292,-78.97917,"6B, 11",0,NA
Lawson St at NCCU Track (EB),6171,35.976159,-78.896717,8,0,NA
Hardee St at Holloway St,6172,35.99245,-78.865885,"3B, 3C",0,NA
Holloway St at Southerland St,6173,35.990587,-78.860324,"3B, 3C, 23",0,NA
E Main St at Driver St (WB),6176,35.985903,-78.877454,"2B, 23",0,NA
Lawson St at Sima Ave (WB),6177,35.974569,-78.890915,8,0,1
Morgan St at Mangum St,6182,35.99747,-78.89833,4,0,NA
Shannon Rd at Auto Dr (Sams Club),6191,35.967547,-78.95519,10B,0,1
Fayetteville Rd at Turmeric Ln,6193,35.937202,-78.907995,5,0,NA
University Dr at Myra St (EB),6196,35.966524,-78.951709,"10, 10A, 10B",0,NA
Witherspoon Blvd at McFarland Dr,6197,35.9509,-78.989783,"10, 10A, 400",1,1
Mt. Moriah Rd at Danziger Dr,6198,35.9495031,-78.994395,"10, 10A, 400",0,NA
Hillandale Rd at Hillandale Elementary,6201,36.05318,-78.93487,"1, 1B",0,NA
Horton Rd at Sugarwood Pl,6202,36.05733,-78.933825,"1, 1B, 9A",0,0
Horton Rd at Guess Rd (Harris Teeter),6203,36.057324,-78.931269,"1, 1B, 9A",1,1
Guess Rd at Horton Rd (Walgreens),6204,36.0568763,-78.929312,"1, 1B",1,NA
Guess Rd at Peppertree St,6205,36.05456,-78.92945,"1, 1B",0,NA
Guess Rd at Crystal Lake Rd,6206,36.0497,-78.92945,"1, 1B",0,NA
Guess Rd at Bogarde St,6207,36.04375,-78.92957,"1, 1B",0,NA
Hillandale Rd at Pinetree Ct,6210,36.044065,-78.935233,"1, 1B",0,1
Hillandale Rd at Samuel Dr,6211,36.04822,-78.93616,"1, 1B",1,NA
Hillandale Rd at Croasdaile Farms,6212,36.050761,-78.935439,"1, 1B",0,NA
Page Rd at US 70,6217,35.931455,-78.810467,"2, 2A",0,1
Brier Leaf Ln at Brier Creek Pkwy,6221,35.90902,-78.7863,15,0,1
Brier Leaf Ln at Little Brier Creek Ln,6224,35.91134,-78.7859,15,0,0
Brier Creek Pkwy at Little Brier Creek Ln,6225,35.90927,-78.78484,15,0,1
TW Alexander Dr at Glenwood Ave,6226,35.918259,-78.786511,15,1,1
Rigsbee Ave at Seminary St,6241,35.999,-78.89989,4,1,NA
