CENTER_NAME,LATITUDE,LONGITUDE
Wildflower Cottege for Children,35.977252,-78.9394545
Bethesda SAC Club,35.9407167,-78.8377877
Bryson Christian Montessori School III,35.9248252,-78.9603316
Children First Inc.,35.9881533,-78.9156901
Christian Prep Academy Inc.,35.904186,-78.91274
Club Blvd SAC Club,36.0192142,-78.8966461
Community Preschool at Lakewood,35.9883973,-78.925936
Creative Care Early Learning Academy,36.0273649,-78.8841379
Creekside SAC Club,35.9294577,-78.9945214
Easley SAC Club,36.0754225,-78.9268729
Eastway Elementary Pre-K,35.973822,-78.893912
EK Powe SAC Club,36.012086,-78.921974
Fellowship Baptist Daycare,36.000299,-78.8615612
Glaxo Child Development Center,35.9277056,-78.8611299
Glenn SAC Club,36.0289571,-78.8377654
Hillandale SAC Club,36.0524508,-78.9333155
Holt SAC Club,36.0562431,-78.9064834
Lakewood SAC Club,35.9830548,-78.9354446
Linking Connections Learning Center,36.018437,-78.889848
"Loving, Caring, and Sharing",35.9702858,-78.8881475
Merrick-Moore SAC Club,36.0054223,-78.8519514
Morehead SAC Club,35.989161,-78.913225
Oak Grove SAC Club,35.981254,-78.82071
Pearsontown SAC Club,35.9320941,-78.9082601
Pobaby Development Academy,35.949556,-78.90626
Sandy Ridge SAC Club,36.0572963,-78.8710677
Southwest SAC Club,35.9276852,-78.9241013
The Playhouse Early Academy,36.0195496,-78.915767
Toddler's Academy,35.9113829,-78.9452319
Treasures of Joy Christian Learning Academy,35.9378776550293,-78.8842315673828
Watts SAC Club,36.0081821,-78.9101239
White Rock Child Development Center,35.9556884765625,-78.9071502685546
21st Century Childcare at Sherwood Park,36.0033363,-78.869643
A New Beginning,35.9623146057128,-78.9608459472656
A New Beginning II,35.9892357,-78.9244408
A New Beginning III,35.9660841,-78.9521435
Al-Huda Academy,35.894709,-78.9114577
All my Children Child Care Center,35.9703577,-78.9431331
Bambinos Playschool,35.8985290527343,-78.8949966430664
Beacon Learning Academy RTP,35.8877725,-78.897561
Bethesda Child Care Center I,35.9432887,-78.8390257
Brown's Early Learning Academy,35.9667047,-78.9066486
Bryant's Day Care Home,35.9947304,-78.8741861
Bryson Christian Montessori School ,35.9693327,-78.9338773
Bryson Christian Montessori School II,35.9248252,-78.9603316
Calvary Child Care,35.9698997,-78.8493326
Durham Head Start-RTP,35.8944511413574,-78.892333984375
Durham Head Start-Main Site,35.99913,-78.900155
First Chronicles Daycare Center,35.9803329,-78.8961061
First Presbyterian Day School,35.9939277,-78.8977204
Kids Korner Academy,36.040283203125,-78.9121170043945
Kids Korner Academy II,35.9851681,-78.9111519
Kids Learning Center,35.915074,-78.891677
"Kin, Too",36.0220376,-78.9186122
Lakewood Ave Children's School,35.986547,-78.92385
Little People Day Care Center,36.1266713,-78.8785373
Little Wonders Child Care Services,35.9815138,-78.8269108
Lyon Park Head Start,35.9889505,-78.9195902
McClammy Kids Academy,36.0569806,-78.9200099
McQueen's Amazing Changes Childcare,35.9895668029785,-78.8504180908203
Mi Neighborhood Playhouse Too,35.9355872,-78.8845623
Mount Zion Daycare,35.977922,-78.90043
Ncdougald Terrace Head Start,35.974665,-78.8908409
Oxford Manor Head Start,36.04041,-78.8861985
Primrose School of East Chapel Hill,35.9317479,-78.9987964
RN Harris SAC Club,35.9703461,-78.8838058
The Learning Circle,35.9549594,-78.9079413
The Learning Experience,35.895892,-78.897172
The Woodcroft School,35.922586,-78.956272
Triangle Day Care,35.9520213,-78.899252
Victorious Daycare and Preschool Academy,35.9296281,-78.8154222
A New Beginning IV,36.0181323,-78.8889372
Bright Horizons Family Solutions,35.958209991455,-78.962776184082
Grey Stone Christian Learning Center,36.0102454,-78.9293581
Growing Legacy Early Learning Center,35.9959297,-78.9115245
Holt Elementary Pre-K,36.0562431,-78.9064834
King's Kids Child Development Center,35.966443,-78.895445
Landeeingdam Dosland Daycare,35.9627396,-78.8827965
Liberty Baptist Day Care,36.0637926,-78.9255104
Little Learners Day Care Center,36.0341941,-78.8826607
Whitted School,35.9820457,-78.9019952
Little Kidz Preschool,36.0374585,-78.9274713
