CENTER_NAME,LATITUDE,LONGITUDE
Rose Of Sharon Baptist Church,36.06681705,-78.93415645
Russell Memorial CME Church,35.98095427,-78.8909633
St. James Baptist Church,36.01738685,-78.91391093
St. John's Missionary Baptist Church,36.01362845,-78.91508486
St. Luke's Episcopal Church,36.02790431,-78.93659072
St. Philip's Episcopal Church,35.99381765,-78.89640653
Shady Grove Church,35.93403646,-78.75670042
Southside Church Of Christ,35.96321151,-78.90054704
Saint Joseph's Episcopal Church,36.00740542,-78.92155899
St Mark AME Zion,35.98939272,-78.90121625
St Paul's Lutheran Church,35.97773156,-78.93902843
Revolve Church,36.01710183,-78.92509559
Tabernacle Of Life Church,36.02831286,-78.93042259
Temple Baptist Church,36.07532334,-78.95251884
Triangle Grace Church,35.91271535,-78.94883549
Trinity Avenue Presbyterian Church,36.0059614,-78.90648191
Trinity United Methodist Church,35.9966365,-78.89855645
Union Baptist Church,36.00034311,-78.89349439
Watts Street Baptist Church,36.00935865,-78.9107748
West Durham Baptist Church,35.96638958,-78.8884049
Westminster Presbyterian Church,35.956157,-78.95410326
Yates Baptist Church,35.97440177,-78.93680488
Cedar Fork Baptist Church,35.88434718,-78.85035731
Faith In Christ Church Worldwide,36.03089986,-78.92503693
Gates of Praise Christian Church,35.95453953,-78.89164825
New Horizon Church,36.04857585,-79.01865172
Obedience to the Word Full Gospel Church,36.03143904,-78.88338155
Victorious Praise Fellowship Church,35.93060585,-78.81463343
Antioch Baptist Church,35.99457085,-78.87547359
King's Park International Church,35.93134473,-78.89313436
Masjid Tawheed Wa Sunnah,35.92712701,-78.88781651
Fusion Point Church,35.94681283,-78.92017642
Durham Five Oaks SDA Church,35.94250717,-78.98504192
Peace Covenant Church of the Brethren,35.90961902,-78.92550025
Pilgrim United Church of Christ,35.97108477,-78.9426371
Horton Road Church of God,36.05719187,-78.91911147
Greater Joy International Ministries,35.98865179,-78.92846667
Hope Valley Baptist Church,35.92045716,-78.96129936
Living Waters Christian Community,35.97299711,-78.84935851
Mount Calvary United Church of Christ,35.96928766,-78.89086313
newhope church,35.89006383,-78.94239422
Eagles' Summit Christian Fellowship Church,35.99692681,-78.91406951
St. James Church of Christ,36.01113508,-78.89417915
Andrews Chapel United Methodist Church,35.93393771,-78.77315142
Saint Matthew Catholic Community,36.12569986,-78.92252642
St. Stephen's Episcopal Church,35.9357771,-78.95180731
First Pentecostal Church,36.04108332,-78.91667938
Los Pentecostales de Durham,36.02400569,-78.84762822
New Joy Church,36.12356764,-78.94058594
Praise Tabernacle Worship Center,35.99675917,-78.91773074
Divine Grace Worship Center,36.0288232,-78.86754322
New Destiny Christian,35.97993974,-78.89564983
Durham Immanuel Temple SDA Church,35.96152418,-78.88814447
Edgewood Baptist Church,36.08498123,-78.870935
Faith Community Church,36.06619852,-78.90564251
Central Church of Christ,36.02307153,-78.9500901
Greater New Birth Baptist Church,35.9853886,-78.87023966
Organizing Church,36.00318316,-78.90858325
Grace Church of Durham,36.03374198,-78.9525766
Fletcher's Chapel United,36.01246416,-78.80282774
CityWell,35.98253576,-78.93124695
New Metropolitan Baptist Church,35.95414127,-78.89674928
Orange Grove Missionary Baptist Church,35.97493077,-78.86613141
Rebirth Baptist Church Ministries,35.98036673,-78.87910554
Durham Bahá’í Center,35.89569081,-78.9099498
St. Paul United Methodist Church,36.0254033,-78.88914394
Iglesia Cristiana Emanuel,35.94253838,-78.87715792
True Way Holiness Church,35.98213384,-78.77767075
Duke University Chapel,36.00255133,-78.93956562
Beth El Synagogue,36.01050263,-78.91087296
Judea Reform Congregation,35.9790255,-78.9549293
Jewish for Good,35.98021238,-78.95497663
Durham Shambhala Meditation Center,36.01051554,-78.92794748
North Carolina Buddhist Temple,35.99148191,-78.786767
