CENTER_NAME,name,LATITUDE,LONGITUDE,URL,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agape & Power Deliverance Ministry,Agape & Power Deliverance Ministry,35.96514,-78.91932,https://toplocalplaces.com/united-states/durham/church-religious-organization/agape-power-deliverance-ministry-uhc-of-america/110315032331593,"All,Jordan High,Githens Middle,Southwest Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Mark African Methodist Episcopal Zion Church,St. Mark African Methodist Episcopal Zion Church,35.98847,-78.90131,https://stmarkamez.org,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immanuel Temple Seventh Day,Immanuel Temple Seventh Day,35.97988,-78.89541,https://www.immanueltemplechurch.com,"All,Hillside High, Bethesda Elementary,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyles Temple AME Zion Church,Kyles Temple AME Zion Church,35.97911,-78.90102,https://www.kylestempleamez.com,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restoration of Faith Church,Restoration of Faith Church,35.97144,-78.91085,https://opencorporates.com/companies/us_nc/1515588,"All,Brogden Middle,C.C. Spaulding Elementary,Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph's AME Church,St. Joseph's AME Church,35.96862,-78.90239,https://www.stjosephame.org,"All,Fayetteville Street Elementary,Hillside High,Githens Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Place of Hope Community Wesleyan Church,A Place of Hope Community Wesleyan Church,36.00475,-78.88459,https://www.unitedstateschurches.com/north-carolina/a-place-of-hope-community-wesleyan-church-durham/178761,"All,Eastway Elementary,Lucas Middle, Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldersgate United Methodist Church,Aldersgate United Methodist Church,36.08451,-78.93998,https://aldersgate.org,"All,Easley Elementary,Carrington Middle,Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asbury United Methodist Church,Asbury United Methodist Church,36.011,-78.91805,https://www.asburyunitedmethodist.com,"All,Brogden Middle,E.K. Powe Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berea Baptist Church,Berea Baptist Church,35.93122,-78.91807,http://www.bereabaptistdurham.org,"All,Hillside High,Lowes Grove Middle,Parkwood Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
