STORE_NAME,ADDRESS,LATITUDE,LONGITUDE,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walmart Supercenter,5450 New Hope Commons Dr,35.95452,-78.99864,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shilla Oriental Market Llc,2107 Allendown Dr # 103,35.89912,-78.89531,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guess Road Minimart,2014 Guess Rd,36.02301,-78.91784,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save-A-Lot,812 Liberty St,35.99231,-78.88651,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Teeter #492,3457 Hillsborough Rd,36.01893,-78.94845,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plaza Latina,3801 Wake Forest Rd # 118,35.98175,-78.82055,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheetz,3414 Hillsborough Rd,36.01954,-78.94593,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Food Mart,2944 Holloway St,35.98654,-78.84427,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Food Mart,403 W Trinity Ave,36.00518,-78.90176,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tienda Mi Tierra,4226 Garrett Rd #C,35.95952,-78.97606,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Lion #420,3808 Guess Rd,36.05851,-78.92777,"All,Hillandale Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Lion #234,2400 Holloway St # C,35.98929,-78.85942,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
