,Unnamed: 0,name,CENTER_NAME,LATITUDE,LONGITUDE,school_zones
81,81,Southwest SAC Club,Southwest SAC Club,35.9276852,-78.9241013,"CEJordan,Southwest,Ten Schools"
82,82,The Playhouse Early Academy,The Playhouse Early Academy,36.0195496,-78.915767,"EK Powe,Ten Schools"
83,83,Toddler's Academy,Toddler's Academy,35.9113829,-78.9452319,"CEJordan,Ten Schools"
84,84,Treasures of Joy Christian Learning Academy,Treasures of Joy Christian Learning Academy,35.9378776550293,-78.8842315673828,"Hillside,Ten Schools"
85,85,Watts SAC Club,Watts SAC Club,36.0081821,-78.9101239,"EK Powe,Ten Schools"
86,86,White Rock Child Development Center,White Rock Child Development Center,35.9556884765625,-78.9071502685546,"Fayetteville St,Hillside,Ten Schools"
87,87,21st Century Childcare at Sherwood Park,21st Century Childcare at Sherwood Park,36.0033363,-78.869643,Ten Schools
88,88,A New Beginning,A New Beginning,35.9623146057128,-78.9608459472656,"CEJordan,Ten Schools"
89,89,A New Beginning II,A New Beginning II,35.9892357,-78.9244408,"CEJordan,Lakewood,Ten Schools"
90,90,A New Beginning III,A New Beginning III,35.9660841,-78.9521435,"CEJordan,Ten Schools"
91,91,Al-Huda Academy,Al-Huda Academy,35.894709,-78.9114577,"Hillside,Parkwood,Ten Schools"
92,92,All my Children Child Care Center,All my Children Child Care Center,35.9703577,-78.9431331,"CEJordan,Forest View,Ten Schools"
93,93,Bambinos Playschool,Bambinos Playschool,35.8985290527343,-78.8949966430664,"Hillside,Parkwood,Ten Schools"
94,94,Beacon Learning Academy RTP,Beacon Learning Academy RTP,35.8877725,-78.897561,"Hillside,Parkwood,Ten Schools"
95,95,Bethesda Child Care Center I,Bethesda Child Care Center I,35.9432887,-78.8390257,"Hillside,Ten Schools"
96,96,Brown's Early Learning Academy,Brown's Early Learning Academy,35.9667047,-78.9066486,"Fayetteville St,Hillside,Ten Schools"
97,97,Bryant's Day Care Home,Bryant's Day Care Home,35.9947304,-78.8741861,Ten Schools
98,98,Bryson Christian Montessori School,Bryson Christian Montessori School,35.9693327,-78.9338773,"CEJordan,Ten Schools"
99,99,Bryson Christian Montessori School II,Bryson Christian Montessori School II,35.9248252,-78.9603316,"CEJordan,Ten Schools"
100,100,Calvary Child Care,Calvary Child Care,35.9698997,-78.8493326,"Hillside,Ten Schools"
101,101,Durham Head Start-RTP,Durham Head Start-RTP,35.8944511413574,-78.892333984375,"Hillside,Parkwood,Ten Schools"
102,102,Durham Head Start-Main Site,Durham Head Start-Main Site,35.99913,-78.900155,Ten Schools
103,103,First Chronicles Daycare Center,First Chronicles Daycare Center,35.9803329,-78.8961061,"CEJordan,Ten Schools"
104,104,First Presbyterian Day School,First Presbyterian Day School,35.9939277,-78.8977204,"Eastway,Ten Schools"
105,105,Kids Korner Academy,Kids Korner Academy,36.040283203125,-78.9121170043945,Ten Schools
106,106,Kids Korner Academy II,Kids Korner Academy II,35.9851681,-78.9111519,"CC Spaulding,CEJordan,Ten Schools"
107,107,Kids Learning Center,Kids Learning Center,35.915074,-78.891677,"Hillside,Parkwood,Ten Schools"
108,108,"Kin, Too","Kin, Too",36.0220376,-78.9186122,"EK Powe,Ten Schools"
