name,PROGRAM_NAME,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Valley Farm YMCA,Hope Valley Farm YMCA,4818 S. Roxboro St.,35.93399,-78.93833,https://www.ymcatriangle.org/locations/hope-valley-farms-ymca,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakewood YMCA,Lakewood YMCA,2119 Chapel Hill Rd.,35.98497,-78.9286,https://www.ymcatriangle.org/locations/lakewood-ymca,"All,Brogden Middle,Jordan High,Lakewood Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Tobacco YMCA,American Tobacco YMCA,410 Blackwell Street,35.99189,-78.90543,https://www.ymcatriangle.org/locations/ymca-american-tobacco,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT&T Believe Durham,AT&T Believe Durham,2905 Fayetteville St,35.96458,-78.90604,https://www.dpsnc.net/site/Default.aspx?PageType=3&DomainID=4&PageID=1&ViewID=6446ee88-d30c-497e-9316-3f8874b3e108&FlexDataID=32517,"All,Fayetteville Street Elementary,Hillside High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edison Johnson Recreation Center,Edison Johnson Recreation Center,500 W Murray Ave,36.02982,-78.90087,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Edison%20After%20School&viewMode=list,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holton Career & Resource Center,Holton Career & Resource Center,401 N Driver St,35.99001,-78.87895,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Holton%20After%20School&viewMode=list,"All,Eastway Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I.R. Holmes, Sr. Recreation Center","I.R. Holmes, Sr. Recreation Center",2000 S Alston Ave,35.96267,-78.89028,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=I.R.%20Holmes%20After%20School&viewMode=list,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.D. Hill Recreation Center,W.D. Hill Recreation Center,1308 Fayetteville St,35.98072,-78.89984,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=WD%20After%20School&viewMode=list,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI Patterson Recreation Center,WI Patterson Recreation Center,2614 Crest St,36.01303,-78.93936,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=WI%20Patterson%20After%20School&viewMode=list,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walltown Park Recreation Center,Walltown Park Recreation Center,1308 W Club Blvd,36.01779,-78.91429,https://anc.apm.activecommunities.com/dprplaymore/activity/search?onlineSiteId=0&locale=en-US&activity_select_param=2&activity_keyword=Walltown%20After%20School&viewMode=list,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
